LocationID,Latitude,Longitude,Tags
20160301-MSDROP-02-C-779,35.95019444,39.0125,ISILRuleNegative
20160301-MSDROP-02-C-782,35.95019444,39.0125,
20160301-MSDROP-02-C-783,35.95355556,39.01208333,
20160301-MSDROP-02-C-784,35.94666667,39.01269444,
20160301-MSDROP-02-C-785,35.95019444,39.0125,
20160301-MSDROP-02-C-786,35.95008333,39.01330556,BusinessImpact
20160304-MSDROP-02-C-800,35.95008333,39.01330556,ISILMilitia
20160308-MSDROP-02-C-801,35.95594444,39.00422222,ISILRuleNegative
20160308-MSDROP-02-C-802 ,35.95086111,39.00905556,InternetCafe
20160308-MSDROP-02-C-803 ,35.95469444,39.00783333,BusinessTakeover
20160308-MSDROP-02-C-804 ,35.95019444,39.0125,
20160308-MSDROP-02-C-805,35.95019444,39.0125,Propaganda
20160308-MSDROP-02-C-806,35.94747222,39.01697222,Propaganda
20160308-MSDROP-02-C-807,35.95469444,39.00783333,Propaganda
20160308-MSDROP-02-C-808,35.95919444,38.98905556,DisrespectToCulturalSites
20160308-MSDROP-02-C-809,35.96,38.97619444,DisrespectToCulturalSites BusinessTakeover
20160308-MSDROP-02-C-810,35.95469444,39.00783333,Propaganda
20160308-MSDROP-02-C-811,35.96447222,39.01033333,ISILRuleNegative
20160308-MSDROP-02-C-812,35.96052778,38.98138889,Propaganda
20160308-MSDROP-02-C-813,35.94627778,39.01308333,
20160308-MSDROP-02-C-814,35.95919444,38.98905556,Propaganda
20160308-MSDROP-02-C-815,35.95008333,39.01330556,
20160308-MSDROP-02-C-816,35.95019444,39.0125,ISILMilitia
20160308-MSDROP-02-C-817,35.95019444,39.0125,
20160308-MSDROP-02-C-818,35.9625,39.01775,ISILRuleNegative
20160308-MSDROP-02-C-819,35.97127778,39.07202778,DisrespectToCulturalSites
20160308-MSDROP-02-C-820,35.95155556,39.01205556,
20160308-MSDROP-02-C-821,35.95919444,38.98905556,CoalitionAirstrike
20160308-MSDROP-02-C-822,35.95111111,39.02991667,ChildLabor
20160310-MSDROP-02-C-840,35.96447222,39.01033333,ChildLabor Propaganda
20160310-MSDROP-02-C-841,35.95330556,39.00661111,
20160310-MSDROP-02-C-842,35.95019444,39.0125,Propaganda
20160310-MSDROP-02-C-843,35.95355556,39.01208333,
20160310-MSDROP-02-C-844,35.95086111,39.00905556,
20160310-MSDROP-02-C-845,35.97127778,39.07202778,ChildLabor DisrespectToCulturalSites
20160310-MSDROP-02-C-846,35.95919444,38.98905556,Propaganda
20160310-MSDROP-02-C-847,35.95188889,39.02066667,HeritageSite ISILRuleNegative
20160310-MSDROP-02-C-848,35.96355556,39.01327778,
20160310-MSDROP-02-C-849,35.90469444,38.97994444,
20160310-MSDROP-02-C-850,35.95355556,39.01208333,
20160310-MSDROP-02-C-851 ,35.95019444,39.0125,ISILMilitia
20160310-MSDROP-02-C-852,35.947,39.01263889,ISILMilitia
