Latitude,Longitude,Political Assoc,Object_ID
34.48597172,69.13468838,Pro-War,15
34.48682068,69.13644791,Pro-War,15
34.50175128,69.13795531,Pro-War,15
34.50850167,69.14116859,Pro-War,15
34.54649168,69.15923595,Pro-War,15
34.5498585,69.16291595,Pro-War,15
34.54286844,69.16522264,Pro-War,15
34.50416946,69.10363913,Tribal/Provincial,16
"34.4696275134267,",69.12250042,Tribal/Provincial,16
34.46962751,69.12258625,Tribal/Provincial,16
34.47680945,69.12563324,Tribal/Provincial,16
34.57573694,69.12585855,Tribal/Provincial,16
34.4764601,69.1261965,Tribal/Provincial,16
34.47634955,69.12637353,Tribal/Provincial,16
34.57490655,69.12648082,Tribal/Provincial,16
34.50549567,69.12657738,Tribal/Provincial,16
34.47564199,69.12700653,Tribal/Provincial,16
34.47580561,69.12717819,Tribal/Provincial,16
34.4757835,69.1273123,Tribal/Provincial,16
34.50047364,69.12923813,Tribal/Provincial,16
34.48733359,69.13554668,Tribal/Provincial,16
34.50008018,69.14140999,Tribal/Provincial,16
34.50008018,69.14140999,Tribal/Provincial,16
34.4719626,69.14686561,Tribal/Provincial,16
34.50694563,69.15182769,Tribal/Provincial,16
34.50436397,69.15412903,Tribal/Provincial,16
34.5562648,69.15996552,Tribal/Provincial,16
34.53060127,69.17215347,Tribal/Provincial,16
34.52142623,69.17352676,Tribal/Provincial,16
34.5367,69.1927,Tribal/Provincial,16
34.53669973,69.19273138,Tribal/Provincial,16
34.52699501,69.20339584,Tribal/Provincial,16
34.5533,69.2063,Tribal/Provincial,16
34.50715782,69.21918869,Tribal/Provincial,16
34.5074761,69.22360897,Tribal/Provincial,16
34.55969308,69.03779626,Tribal/Provincial,16
34.50542494,69.1189599,Women's Rights,17
34.50538957,69.1386795,Women's Rights,17
34.53512654,69.17932034,Women's Rights,17
34.529081,69.20180798,Women's Rights,17
34.54265634,69.20543432,Women's Rights,17
34.52876281,69.11190033,Xenophobia,18
34.51062348,69.11584854,Xenophobia,18
34.51589243,69.1269207,Xenophobia,18
34.51191423,69.12715673,Xenophobia,18
34.57469454,69.12953854,Xenophobia,18
34.51370002,69.13267136,Xenophobia,18
34.49587574,69.13516045,Xenophobia,18
34.49792714,69.13627625,Xenophobia,18
34.49796251,69.13672686,Xenophobia,18
34.48903148,69.13704872,Xenophobia,18
34.57639065,69.1384542,Xenophobia,18
34.49108305,69.13865805,Xenophobia,18
34.50155234,69.13872242,Xenophobia,18
34.46511637,69.14721966,Xenophobia,18
34.5046469,69.14872169,Xenophobia,18
34.50661409,69.15121078,Xenophobia,18
34.56418143,69.15327072,Xenophobia,18
34.55760786,69.15593147,Xenophobia,18
34.51227669,69.16339874,Xenophobia,18
34.51179046,69.16388154,Xenophobia,18
34.51183466,69.16394591,Xenophobia,18
34.54183446,69.16670322,Xenophobia,18
34.51690021,69.17284012,Xenophobia,18
34.53233363,69.17382717,Xenophobia,18
34.51963176,69.17689562,Xenophobia,18
34.51381053,69.117769,Xenophobia,18
34.51362046,69.117769,Xenophobia,18
34.51367792,69.11777437,Xenophobia,18
34.51414204,69.11783874,Xenophobia,18
