FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7804,POINT (24.18138888888889 14.936111111111112),,145610,14.936111,0241053,24.181389,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7805,POINT (24.244444444444444 15.0675),ORIRI,150403,15.0675,0241440,24.244444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7806,POINT (24.278333333333332 15.078333333333333),MATBETTI,150442,15.078333,0241642,24.278333,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7807,POINT (24.215 15.101111111111111),HAJAR,150604,15.101111,0241254,24.215,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7808,POINT (24.232222222222223 15.256944444444445),MUZBAT,151525,15.256944,0241356,24.232222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7809,POINT (24.095555555555556 15.196388888888889),TURBA,151147,15.196389,0240544,24.095556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7810,POINT (24.04722222222222 15.209444444444445),,151234,15.209444,0240250,24.047222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7811,POINT (24.010833333333334 15.2425),,151433,15.2425,0240039,24.010833,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7812,POINT (24.030833333333334 15.288333333333334),,151718,15.288333,0240151,24.030833,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7813,POINT (24.04111111111111 15.380277777777778),,152249,15.380278,0240228,24.041111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7814,POINT (23.9125 15.14861111111111),GURBURA,150855,15.148611,0235445,23.9125,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7815,POINT (23.872222222222224 15.135),,150806,15.135,0235220,23.872222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7816,POINT (23.83972222222222 15.144722222222223),,150841,15.144722,0235023,23.839722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7817,POINT (23.904722222222222 15.110555555555555),,150638,15.110556,0235417,23.904722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7818,POINT (23.934166666666666 15.152222222222223),,150908,15.152222,0235603,23.934167,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7819,POINT (23.947777777777777 15.200555555555555),,151202,15.200556,0235652,23.947778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7820,POINT (23.923055555555557 15.196111111111112),,151146,15.196111,0235523,23.923056,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7821,POINT (23.714444444444446 15.355833333333333),SABUN GARDIA,152121,15.355833,0234252,23.714444,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7822,POINT (23.761666666666667 15.110833333333334),,150639,15.110833,0234542,23.761667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7823,POINT (23.760555555555555 15.125277777777777),,150731,15.125278,0234538,23.760556,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7824,POINT (23.844722222222224 15.278888888888888),,151644,15.278889,0235041,23.844722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7825,POINT (23.79083333333333 15.226666666666667),,151336,15.226667,0234727,23.790833,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7826,POINT (23.787777777777777 15.265),,151554,15.265,0234716,23.787778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7827,POINT (23.842777777777776 15.215277777777779),,151255,15.215278,0235034,23.842778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7828,POINT (23.4825 15.245),,151442,15.245,0232857,23.4825,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7829,POINT (23.494722222222222 15.260277777777778),,151537,15.260278,0232941,23.494722,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7830,POINT (23.438333333333333 15.266111111111112),,151558,15.266111,0232618,23.438333,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7831,POINT (23.502777777777776 15.278611111111111),,151643,15.278611,0233010,23.502778,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7832,POINT (26.93138888888889 13.539444444444445),BURUSH,133222,13.539444,0265553,26.931389,NO DAMAGE,Secondary Town,,0,0,0,0,1
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7833,POINT (27.010277777777777 13.504166666666666),,133015,13.504167,0270037,27.010278,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7834,POINT (26.581944444444446 13.411944444444444),UM EREIDA,132443,13.411944,0263455,26.581944,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7835,POINT (26.698888888888888 13.4225),,132521,13.4225,0264156,26.698889,NO DAMAGE,,,0,0,0,0,
