Event ID,Event Date,Event Type,Group,Country,State,City,Latitude,Longitude,Total Deaths,Total Injuries
3766497,29-Jun,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,3,5
3766451,29-Jun,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Afgoye,2.13889,45.124008,2,4
3766631,28-Jun,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,3,5
3765937,28-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Garbaharey,2.790175,42.089075,0,0
3766688,28-Jun,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Baardheere,2.33928,42.283741,0,0
3767054,28-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,5,8
3768030,1-Jun,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,0,0
3768076,1-Jun,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,0,0
3768142,18-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Unknown,5.161575,46.200829,70,0
3768580,22-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Luuq,3.79814,42.550751,1,0
3770756,2-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,16,27
3771052,4-Jul,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,0,0
3769649,26-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3787413,5-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,0
3787416,5-Jul,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3787150,1-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Afgoye,2.13889,45.124008,0,4
3788557,10-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Garbaharey,2.790175,42.089075,3,8
3788404,9-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,7,0
3789605,11-Jul,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baidoa,3.12022,43.64423,0,0
3794838,13-Jul,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Gobolka Bay,Baidoa,3.120215,43.644236,0,0
3789615,12-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Afgoye,2.13889,45.124008,0,4
3796803,14-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bari,Galgala,10.17017,50.171175,0,0
3795298,15-Jul,Arson,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,0,0
3795291,15-Jul,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,0,0
3796577,17-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,10,0
3794899,13-Jul,Hostage Taking/Kidnapping,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Eldere,5.161575,46.200829,0,0
3795478,16-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,0,1
3795446,16-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,1,0
3795343,14-Jul,Arson,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
3789653,12-Jul,Arson,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Afgoye,2.13889,45.124008,0,0
3795221,15-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Beled Haawo,2.790175,42.089075,1,8
